session;group;group_affect;time;sentiment;answer_length;sum_senti;rel_senti
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;1;negative; 41; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;1;positive; 41; 6;0,146341463
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;1;sadness; 41; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;1;surprise; 41; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;1;trust; 41; 3;0,073170732
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;2;anger; 31; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;2;anticipation; 31; 4;0,129032258
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;2;disgust; 31; 1;0,032258065
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;2;fear; 31; 1;0,032258065
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;2;joy; 31; 4;0,129032258
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;2;negative; 31; 1;0,032258065
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;2;positive; 31; 5;0,161290323
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;2;sadness; 31; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;2;surprise; 31; 3;0,096774194
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;2;trust; 31; 3;0,096774194
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;3;anger; 25; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;3;anticipation; 25; 4;0,160000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;3;disgust; 25; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;3;fear; 25; 1;0,040000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;3;joy; 25; 5;0,200000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;3;negative; 25; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;3;positive; 25; 6;0,240000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;3;sadness; 25; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;3;surprise; 25; 2;0,080000000
